"辞書
ページ"	見出し	見出しの漢字	見出しの説明	内容
664	かんべん	〔勘弁〕		kaNbiN，→かんにん/ ～するnaSireejuN，→ゆるす
664	かんぼうい	〔漢方医〕		?ucinaa?isja
664	かんぼく	〔灌木〕		gumagii
664	かんむり	〔冠〕		hacimaci，kaNmui，→?akahacimaci/ 王の～ tamaNcaabui
664	がんやく	〔丸薬〕		gwaNjaku
664	かんよう	〔寛容〕		cimununubi，nubi，→cimubirusaN/ ～性 nagami，nubidee
664	かんよう	〔肝要〕		kaNnuu，→たいせつ
664	かんらく	〔歓楽〕		sjuzoo，→たのしみ
664	かんらくさせる	〔陥落させる〕		?utusjuN
664	かんりする	〔管理する〕		saZakajuN，→とりしまる/ 管理させるsaZakijuN
664	かんれいち	〔寒冷地〕		hwiidukuru
664	かんれき	〔還暦〕		→rukuzuu?ici
664	かんろ	〔寒露〕		kaNru，kaNruu
664	かんわ	〔官話〕		kwaNhwaa
664	き	〔木〕		kii，→かんぼく，きょうぼく，ざいもく/ ～のかけらkikaraa/ ～の皮 kiinukaa/ ～のかんざしkiiziihwaa/ ～の精→kizimuN/ ～の根 kiinunii/ ～の葉→きのは/ ～のまた kiinumata/ ～の実kiinumuQkuu，kiinunai/ ～の門 kiizoo
664	き	〔気〕		cii，→cimu/ ～が合う →?atajuN，'jucaajuN/ ～が荒いこと namaci/ ～が荒い者 namacaa/ ～が重い ?umii?NbusaN/ ～が変わること→hwiNci/ ～が変わるさま →?arimasaraakurimasaraa/ ～が利く →cinucici/～が進むcitudacuN，nurijuN/ ～が小さい cimuguusaN/ ～が付く ?umijujuN/ ～が付くこと ?umijui，?umijuikeejui/ ～が転倒する →maNgwi/ ～が長いciiniisaN，cimunagasaN，'juujuuturaasjaN/ ～がぬける?ahweejuN/ ～が早いciibeesaN/ ～が弱いcimujoosaN/ ～に入ったものcii?iri/ ～に入られる'iirarijuN/ ～にしない→cimu，ZaaN neeN/ ～のせいcimunu?umii/ ～のやまい cibjoo，cijami/ ～を失う →きぜつ/ ～をそらすsisikaasjuN/ ～をつかう →takahwisjaZikee/ ～を付けるkukurijuN，→こころがける/ ～をもむこと →?asigaci，?asigacinoori
665	ぎ	〔義〕		zii，→ぎり
665	ぎいぎい			gwiirigwiirii，kwiirikwiiri
665	きいと	〔生糸〕		→siraga
665	きいろ	〔黄色〕		ciiru，→まっきいろ/ ～いものciiruu/ ～の紙 →ciirukabi/ ～の冠ciiruhacimaci
665	きうす	〔木臼〕		kii?uuSi
665	きえぎえと	〔消え消えと〕		→ciiziitu
665	きえる	〔消える〕		caajuN，kuNdijuN
665	きおく	〔記憶〕		munu?ubi，?ubi，→ものおぼえ/ 不確かな～ ?uru?ubii/ ～する?ubijuN
665	きおくりょく	〔記憶力〕		?ubidee，→ものおぼえ
665	きおち	〔気落ち〕		cidai，→がっかり
665	きかい	〔機械〕		'jaama，karakui，→しかけ
665	きかい	〔機会〕		basju，hjoosi，→じき
665	きがえ	〔着替え〕		keeiziN/ ～のないことcicarukakita，→?icimeemaaminukaa
665	きがえる	〔着替える〕		ciikeejuN
665	きがかり	〔気掛かり〕		cigakai，cimugakai，cimuhwicagi，niNZikee，→しんぱい
665	きかく	〔規格〕		zooma，→きじゅん
665	きかざる	〔着飾る〕		sugajuN，→よそおう
665	きがね	〔気兼ね〕		?ukeei?umii，→えんりょ，しんろう/ ～する?ukeejuN
665	きがん	〔祈願〕		cigwaN，gwaN，kaminigee，?ugwaN，'ugami，→おいのり，がん，きとう，ねがい/ ～する日 ?ugwaNbii/ ～することがら?ugwaNgutu/ ～に使う道具?ugwaNdoogu/ ～の文句の例→?ugwaN
665	ぎがん	〔義眼〕		?irimii
665	きがんじょ	〔祈願所〕		cigwaNzu
665	きかんぼう	〔きかん坊〕		?aNmaku，?uumaku
665	ききおとす	〔聞き落とす〕		cici?utusjuN
665	ききおぼえ	〔聞き覚え〕		cici?ubi
665	ききかえす	〔聞き返す〕		cicikeesjuN/ 聞き返してcicikeesigeesi
665	ききじょうず	〔聞き上手〕		cicizoozi
665	ききだす	〔聞き出す〕		cicimaajuN
665	ききと	〔嬉嬉と〕		→うれしい，はしゃぐ/ ～するさま?uQsja?uQsjaa
665	ききながす	〔聞き流す〕		cicinagasjuN
665	ききほれる	〔聞き惚れる〕		cicihurijuN/ ～こと ciciburi
665	ききまちがい	〔聞き間違い〕		cicimacigee，'joogaazici
665	ききまわる	〔聞き回る〕		cicimaajuN
665	ききめ	〔効目〕		siN，sirusi/ →こうか
665	ききもの	〔聞きもの〕		cicigutu
665	ききょう	〔帰郷〕		kucoo，→きこく
665	ぎきょうだい	〔義兄弟〕		'eecoodee，muukucoodee
665	きぎれ	〔木切れ〕		kiiziri
665	ききわけ	〔聞き分け〕		ciciwaki，ziikazi/ ～がない →teewakasjuN
665	ききわける	〔聞き分ける〕		ciciwakijuN
665	ききん	〔飢饉〕		gasi/ ～の年→きょうねん
665	きく	〔菊〕		ciku
665	きく	〔聞く〕		cicuN，→とう，たずねる，(敬語) ?uNnjukajuN，?uNnukajuN/ 聞いただけでも憎い cicinikusaN/ 聞いて味があるcicisjuuraasjaN/ 聞きたくもないcicicakuN neeN/ 聞きにくいcicigurisjaN/ 聞くだけで黙っていること ciciguN
666	きく	〔利く・効く〕		cicuN，kazicicuN
666	きくぎ	〔木釘〕		kiikuzi
666	きくらげ		(植物名)	mimigui
666	ぎくり			hwiQsui，→どきん/ ～とする→hwiQsuimikasjuN
666	きぐろう	〔気苦労〕		→しんろう
666	きけん	〔危険〕		/ ～である?ukaasjaN，→あぶない/ ～なこと→haNtigutu/ ～な業haNtiwaza，tihwanawaza
666	きげん	〔機嫌〕		ciziN，→ごきげん/ ～がよくなる→'jucaajuN/ ～をとる(～を直す)→cimu
666	きげん	〔期限〕		kaziri，→きじつ，にちげん/ ～付きのものkaki?aasimuN
666	きこう	〔気候〕		→hadamuci，じこう，てんき
666	きこえ	〔聞こえ〕		→ひょうばん
666	きこえおおぎみ	〔聞得大君〕		cihwiziN，(敬語) cihwiziNganasii/ ～の御殿cihwiziN?uduN
666	きこえる	〔聞こえる〕		cikwiijuN，→cicuN
666	きこく	〔帰国〕		cihwaN，→ききょう
666	きごこち	〔着心地〕		ciigukuci
666	ぎごちない			hwizarugisaN
666	きこり	〔樵〕		jamaku
666	きごわ	〔木強〕		ziiguhwaa
666	きこん	〔気根〕		kiinuhwizi
666	きさき	〔后〕		→おうひ
666	きざし	〔兆〕		mujuusi，sikaki，sirusi，→きっちょう，きょうちょう，ぜんちょう
666	きさま	〔貴様〕		sunata，?uga，→あなた
666	きざみこんぶ	〔刻み昆布〕		ciZamikuubu
666	きざみたばこ	〔刻みたばこ〕		ciZamitabaku
666	きざむ	〔刻む〕		ciZanuN，→hweesjuN，?urusjuN
666	きざわり	〔気障り〕		cimuZawai
666	きし	〔岸〕		cisi，→かいがん，かわぎし
666	ぎしき	〔儀式〕		zisici，→しき，さほう
666	きしきし			kwiirikwiiri
666	ぎしぎし			gicigici
666	きじつ	〔期日〕		niciziN，→きげん
666	きしゃ	〔汽車〕		→?agihwiigurumaa
666	きじゅん	〔規準〕		zooma，→kata
666	きじょうもの	〔気丈者〕		?izizuu，?izizuumuN
666	きず	〔傷〕		kizi，→きりきず，けが，すりきず，ひっかききず/ ～の口がふさがるmicaajuN
666	きずつける	〔傷つける〕		sakujuN
666	きずもの	〔傷物〕		→suN
666	ぎする	〔擬する〕		?atigajuN
666	きせつ	〔季節〕		→しき/ ～の変わり目sicigawai
666	きぜつ	〔気絶〕		bucikuN，→そっとう/ ～する→?aNmasjaN
666	きせる	〔煙管〕		cisiri/ ～の管cisiriZoo，roo/ ～入れの一種suQpuN
666	きせる	〔着せる〕		kusijuN
666	きそう	〔競う〕		→きょうそうする
666	きそく	〔規則〕		cisuku，→kata，おきて，きまり
666	きぞく	〔貴族〕		deemjoo
666	きた	〔北〕		manisi，niinuhwa，nisi
666	きたいはずれ	〔期待はずれ〕		miihaNdaa，miihaNnuu
666	きだおれ	〔着倒れ〕		ciidoori
666	きたかぜ	〔北風〕		nisibuci/ ～の吹きはじめmiinisi
666	きたきりすずめ	〔着たきり雀〕		cicarukakita，?icimeemaaminukaa，→いっちょうら
666	きたけ	〔着丈〕		ciidaki
666	きだて	〔気立て〕		cidati，simuci
666	きたない	〔汚ない〕		citanasaN，hagoosaN，'juNhagoosaN，SitanasaN，→bucirii，きたならしい，よごす/ ～ものhagoomuN，(小児語)?NNnaa，peepee
666	きたならしい			hagoogisaN，'juNhagoosaN，→きたない/ ～者?waanukami
666	きたむき	〔北向き〕		nisiNkee
666	きち	〔機智〕		→?uguci，きりゃく
667	きちゅう	〔忌中〕		hwii?uci
667	きちょう	〔記帳〕		coodumi，→きにゅう
667	きちんと			caNtu，→ちゃんと
667	きつい			ciwasjaN，→きつく
667	きづかい	〔気遣い〕		takahwisjaZikee
667	きっかけ			?uZumi
667	きつく			ciQtu，cuuzuuku，→きつい
667	きつじつ	〔吉日〕		'iihwii，zoohwi
667	ぎっしり			zibaQtu，zisaQtu，zisiQtu
667	きづち	〔木づち〕		kiizicaa，→さいづち
667	きっちょう	〔吉兆〕		ciQcuu
667	きっちり			CiNtu
667	きっと			ciQtu，?ijadiN，kaziti，ZuSeeneeN，→かならず
667	きつね	〔狐〕		CiCini/ ～の嫁入りtiida?ami，tiidabui
667	きつねび	〔狐火〕		?ooruubii
667	きっぽう	〔吉報〕		'iisirasi
667	きてい	〔規定〕		→kata，きそく，きまり
667	きとう	〔亀頭〕		haNki
667	きとう	〔祈禱〕		citoo，?ugwaN，→おいのり，きがん/ ～の代わりとなるものcitoogaai
667	きどぐち	〔木戸口〕		muNguci，→かどぐち
667	きどせん	〔木戸銭〕		muNciN
667	きどりや	〔気取り屋〕		buNmucaa，?uNbujaa
667	きどる	〔気取る〕		?uNbujuN/ ～こと ?waaci
667	きなが	〔気長〕		→のんびり/ ～であるciiniisaN，cimunagasaN，'juujuuturaasjaN
667	きなくさい	〔きな臭い〕		/ ～においkakoobikaza
667	きなこ	〔黄な粉〕		maaminakuu
667	きにいり	〔気に入り〕		→おきにいり
667	きにゅう	〔記入〕		coodumi/ ～するtatijuN，→かきいれる/ ～もれtati?ukuri
667	きぬ	〔絹〕		?iicu，?itu/ ～の着物?iicuziN/ ～のもの?itumuN，maN，→siraga，kasinucisiraga
667	きぬいと	〔絹糸〕		?iicu?iicuu，→siraga
667	きぬずれ	〔衣ずれ〕		/ ～のさま→bitabita，horohoro
667	きぬた	〔砧〕		?icabu
667	きね	〔杵〕		?aziN，kakizici
667	きのう	〔昨日〕		cinuu/ ～きよう cinuucuu
667	きのえ	〔甲〕		cinii
667	きのこ	〔茸〕		cinuku，naaba/ ～の一種?aasa，hataki?aasa，mimigui，simizi，moo?aasa
667	きのと	〔乙〕		cinutu
667	きのどく	〔気の毒〕		cinuduku/ ～であるcimugurisjaN，cimu?icasaN/ ～な(～に)cimugurugiinaa
667	きのは	〔木の葉〕		kiinuhwaa/ ～の広いものkaasja，kaasjanuhwaa/ ～で包んだものkaasjanuhwaaziciN
667	きのぼり	〔木登り〕		kiinubui
667	きば	〔牙〕		ciiba
667	きばらし	〔気晴らし〕		nucinusiNtaku
667	きばる	〔気張る〕		→cibajuN，がんばる
667	きはん	〔帰帆〕		cihwaN
667	きはん	〔規範〕		→kani，てほん
667	きひ	〔忌避〕		kusi
667	きび	〔黍〕		maaziN
667	きびきびしている			cibiraasjaN，→haziri，gurusaN
667	きびしい	〔厳しい〕		cibiQsaN，ciwasjaN，→げんじゅう
667	きびなご		(魚名)	sururugwaa
667	きぶくれ	〔着ぶくれ〕		/ ～したさま'wabuwabu
667	きふるす	〔着古す〕		ciihurumasjuN
667	きぶん	〔気分〕		cigee，kukuci，→きもち，こころもち/ ～が悪い?aNmasjaN/ ～が悪いこと?aNmasjabucigee，bucigee，bucikuN，bukukuci
667	ぎぼし	〔擬宝珠〕		→booNtaa，booNtuu
667	きぼとけ	〔木仏〕		kiibutuki
667	きまえ	〔気前〕		/ ～がいい者?uhuzimuu
667	きまくら	〔木枕〕		kiimaQkwa
667	きまま	〔気まま〕		cimama，→かって
667	きまり	〔決まり〕		sadami，→きそく，けってい，さほう
668	きまる	〔決まる〕		→けってい
668	きみ	〔君〕		cimi，→ciN
668	きみ		(代名詞)	→おまえ，きさま/ ～ぼくの話し方'inu?iihii，tageeni?iihii
668	きみ	〔黄身〕		?akamii
668	きみがわるい	〔気味が悪い〕		hagoosaN，'joo?usumasjaN，→うすきみがわるい
668	きみじか	〔気短か〕		→たんき
668	きみじかもの	〔気短か者〕		taNcaa
668	きみたち	〔君たち〕		→おまえたち
668	きみょう	〔奇妙〕		cimjuu，→ふしぎ/ ～であるhwirumasjaN
668	きむ	〔義務〕		?ataimee
668	きむずかしい	〔気むずかしい〕		kamarasjaN，muCikasjaN/ ～者kamarasjaa，hwireegurii，ziiguhwaa
668	きめる	〔決める〕		ciwamijuN，sadamijuN，→けってい
668	きも	〔肝〕		cimu/ ～を冷やす→'NnihwizurusaN
668	きもち	〔気持〕		kukuci，siNci，→きぶん，こころもち
668	きもの	〔着物〕		ciN，→いしょう，いるい，'jaajaa，'Nsu，?weeNsu，→ciNcihwada，cirukaa/　～の襟ciNnukubi/　～の着こなしciNciidanari/　～の種類・名など?aasimuN，?aasiziN，?akauuziN，basjaaziN，basjaziN，ciimuN，ciiziN，cooziN，diNkwaa，dusudii，duubuku，duusibui，duziN，hadasibui，ha?ui，hwiitaa，?irunuciN，'judaci，kurucoo，maakwaa，riNkwaa，sirucoo，sudiciraa，tanasi，?uQcaki，?uQcakigwaa，'wata?iri，'wataziN，?waazi，→がいしゅつぎ，しょうぞく，はれぎ，ふだんぎ，れいふく/　～の背につける飾り→mabujaauu/　～のたけciidaki/　～のつくろいciNnukuu/　～のつけひもciNnuuu/　～の前すそciNnusubaa/　～をゆがめて着ることkata?Nnazi
668	きゃく	〔客〕		caku，(敬語) ?ucaku，?usiiN
668	ぎゃく	〔逆〕		→さかさま
668	ぎゃくたい	〔虐待〕		siNda，→susooN
668	ぎゃくてんする	〔逆転する〕		?uQceejuN，→ひっくりかえす
668	ぎゃくふう	〔逆風〕		Nkeekazi
668	ぎゃくりゅう	〔逆流〕		sakamizi
668	きゃくりょく	〔脚力〕		?asidooni，hwisjazikara
668	きゃしゃである			munujoocigisaN，munujoogisaN
668	きゃすい	〔気安い〕		hwireejaQsaN，→こころやすい
668	きゃはん	〔脚絆〕		cahaN，cahwaN
668	きゃみ	〔気病〕		cibjoo，cijami
668	きゃり	〔木遣り〕		cijai/ ～歌cijai
668	きゅう	〔灸〕		'jaacuu
668	きゅう	〔九〕		kukunuCi，kuu，→ku-，kukunu
668	きゅう	〔急〕		→?aQta，たちまち，とつぜん/ ～な思い立ち?aQta?umitaci/ ～な傾斜sakanai/ ～な坂sakuhwira/ ～にcuucaN/ ～に驚くこと?aQta?uduruci
668	きゅうあく	〔旧悪〕		hurukizi
668	きゅうか	〔休暇〕		'jurii，→やすみ
668	きゅうくつ	〔窮屈〕		/ ～である?ibasaN，?icizirasaN/ ～なさま?ibajaasiicee/ ～な所?ibadukuru，?ibai，?ibaidukuru，→?ibainumii
668	きゅうけい	〔休憩〕		→きゅうそく
668	きゅうけいしょ	〔休憩所〕		jukuidukuru
668	きゅうけつりょうほう	〔吸血療法〕		buubuunuzi
668	きゅうし	〔臼歯〕		?uuSibaa，→おくば
668	きゅうしゃめん	〔急斜面〕		sakanai
668	きゅうじゅう	〔90〕		kuzuu
668	きゅうしょ	〔急所〕		Cibudukuru，nucidukuru，sjoodukuru
668	きゅうじょ	〔宮女〕		guSikuNcu
668	きゅうす	〔急須〕		cuukaa
668	きゅうする	〔窮する〕		CimajuN，sasiCimajuN，→こまる
668	きゅうそく	〔休息〕		jukui，→なかやすみ，ほねやすめ/ ～する→やすむ
669	きゅうてん	〔灸点〕		Cibu，Cibudukuru
669	きゅうどう	〔旧道〕		hurumici
669	ぎゅうにく	〔牛肉〕		Cinu?aQtami，?usinusisi
669	ぎゅうにゅう	〔牛乳〕		?usinucii
669	きゅうはんじだい	〔旧藩時代〕		?ucinaajuu
669	きゅうびょう	〔急病〕		cuubjoo
669	きゅうめい	〔救命〕		nucidaSiki
669	きゅうり	〔胡瓜〕		kii?ui
669	きゅうりもみ			?uigwaa?usee
669	きゅうりゅう	〔急流〕		haikawa
669	きゅうりん	〔9厘〕		sipjaakuguNzuu
669	きゅうれき	〔旧暦〕		?ucinaagujumi
669	ぎゅっと			→kuN-，つよい
669	きょう	〔経〕		→おきょう，きょうもん
669	きょう	〔今日〕		cuu，kiju/ ～というきょうcuuQsicuu/ ～の日cuunuhwii
669	きよう	〔器用〕		seekugaQti
669	きょういく	〔教育〕		naraasi，?usii，?usiigata，→しつけ
669	きょうおう	〔饗応〕		tidee，→せったい/ ～するtideejuN
669	きょうかい	〔境界〕		sakeemi，→さかい
669	きょうぎ	〔協議〕		cuugoo，ziNmi，→そうだん/ ～する?ucaasjuN
669	きょうぐう	〔境遇〕		minu?wii，tacihwa
669	きょうくん	〔教訓〕		'jusigutu，→おしえ
669	きょうげん	〔狂言〕		coogiN，→marumuN，→きりきょうげん
669	ぎょうこう	〔僥倖〕		kuuriZeewee，→こうふく
669	ぎょうざ	〔餃子〕		poopoo
669	きょうさいか	〔恐妻家〕		tuzinukookoo
669	ぎょうさん	〔仰山〕		daNdaN，→たくさん/～なhagoorii
669	ぎょうじ	〔行事〕		/ ～の名など?abusibaree，?agari?umaai，booZinadii，buN，Cinahwici，Cinutatii，cuiziN，duugumaCii，'eisaa，haarii，haCigoosaa，hama?uri，huuciee，?iZaihoo，'jookabii，'juNnujuta，'juQkanuhwii，'juQkaziiru，kaa?urii，kabi?aNzii，kukunukaN，mabuiwakasi，maNsaN，miizuurukunici，miQcanusiku，miQcanu?uiwee，miQcanu?ujuwee，miruku?uNkee，muucii，naciziNugami，naNkanusiku，'Ncabi，?Nzihuni?uiwee，sakaNkee，saNgwaCi?aSibi，sicigwaCieisaa，simakusarasi，sinugu，tanabata，?ubiinadii，?uNcabi，?usjooroo，Zuri?Nma，zuurukunici
669	きょうしゅく	〔恐縮〕		jagumisa，→かしこまる/ ～する→duugurisjaN
669	ぎょうしょう	〔行商〕		kami?acinee，katami?acinee
669	ぎょうずい	〔行水〕		→?usimasi/ ～する?amijuN
669	きょうそう	〔競争〕		?aragaa，?aragaaee，?aragaai，?araSii，sjuubu/ ～する?aragaajuN?arasuujuN/近道をする～maaibeekuu
669	きょうそう	〔競漕〕		→haarii
669	きょうだい	〔兄弟〕		coodee，?utuzaNda，→?umikii，?umikii，?umikiinumee，?uQtusiiza，'wikii，はらから/ ～が多いこと?uhucoodee/ ～の仲が悪いcoodeeguhwasaN
669	きょうだんす	〔京箪笥〕		coodaNSi
669	きょうちくとう	〔夾竹桃〕		coocikutoo
669	きょうちょう	〔凶兆〕		tamagai
669	きょうづか	〔経塚〕		cooZika
669	きょうと	〔京都〕		cootu
669	きょうどう	〔共同〕		→きょうゆう，きょうりょく/ ～井戸→muragaa/ ～飼育→kareewaakii
669	きょうねん	〔凶年〕		gasidusi，nigajuu
669	きょうぼう	〔共謀〕		ciiku，→たくらむ/ ～している者haratiiCi
669	きょうぼく	〔喬木〕		takagii，?uhugii，→たいぼく
669	きょうみ	〔興味〕		suumi
669	きょうもん	〔経文〕		coomuN
669	きょうゆう	〔共有〕		cuukuu，(敬語)?unakaa
669	きょうらく	〔享楽〕		sjuzoo，→たのしみ
669	きょうりょく	〔協力〕		cimuZurii，→きょうどう/ ～する?ucaasjuN
670	ぎょうれつ	〔行列〕	(敬語)	?usuneei
670	きょか	〔許可〕		'jurii，→ゆるす
670	きょくげい	〔曲芸〕		hooka，→かるわざ
670	きょくげんする	〔極言する〕		?iicijuN
670	きょくち	〔極致〕		Cikuri，→きわ
670	きょしつ	〔居室〕		SimeeZa，→いま
670	きょしょ	〔居所〕		'uizu
670	きょじん	〔巨人〕		'jatumuN，'jatuu，→おおおとこ，おおおんな
670	きょせいする	〔去勢する〕		→hugui
670	きょぜつ	〔拒絶〕		kuhwabanii，'Nba，'Npa，'NNba，'NNpa，→ことわる
670	きょだい	〔巨大〕		→おおきい，おおきな/ ～である 'jatumagisaN/ ～な 'jatu-/ ～なもの 'jatumagii
670	きょどう	〔挙動〕		siisiZama，→たちいふるまい
670	きょねん	〔去年〕		kuZu
670	きょひ	〔拒否〕		→きょぜつ
670	きよめる	〔清める〕		cijumijuN
670	きょろきょろ			?amamiikumamii，guruguru，miiguruguru，miigurumaai/ ～する者miiguruguruu
670	ぎょろり			ciNcaaN
670	きらい	〔嫌い〕		buSici
670	きらう	〔嫌う〕		cirajuN，→hujuN，kusi，いとう，いやがる
670	きらきら			ciracira，hwicarahwicara
670	きらく	〔気楽〕		→?iziN，こころやすい
670	きらす	〔切らす〕		cirasjuN，hwiQcijuN，hwiQcirasjuN/切らしがちなさまcirinaataranaa，hwiQcirakaacira/切らしがちな所帯hwiQcirizuutee
670	きり	〔錐〕		?iri/ ～で穴をあける?irihugasjuN
670	きり	〔霧〕		ciri/ ～が降りることciri?uri/～を吹くことsimisi
670	きり	〔桐〕		ciri
670	きり	〔切り〕		cirihwa/ ～がない →hati きり -teeN，-ziri
670	ぎり	〔義理〕		ziri，→kadu，ぎ/ ～や作法zirizaNmee/ ～を欠く→hazi/ ～をわきまえないmagurijuN/ ～をわきまえない者maguraa，magurimuN
670	きりきざむ	〔切り刻む〕		→きざむ/ ～ことcirikuzaN，?usiciriziri
670	きりきず	〔切り傷〕		cirikizi，sakui
670	きりきょうげん	〔切狂言〕		SiicoogiN
670	きりくち	〔切り口〕		cirikuci，cirimi
670	きりころす	〔切り殺す〕		cirikurusjuN
670	きりさめ	〔霧雨〕		guma?amigwaa，→こさめ
670	きりすてる	〔切り捨てる〕		ciriSitijuN
670	きりたおす	〔切り倒す〕		ciritoosjuN
670	ぎりだて	〔義理立て〕		ziridati
670	きりつめる	〔切り詰める〕		→SimeecijuN/～ことciriCimi，→けんやく
670	きりどおし	〔切り通し〕		'waitui
670	きりばん	〔切りばん〕		→ciribaN，まないた
670	きりふき	〔霧吹き〕		simisi
670	きりぼしだいこん	〔切干大根〕		ciZamideekuni
670	きりゃく	〔機略〕		?uguciziNbuN，→きち
670	きりゅう	〔寄留〕		cirjuu，cizuu
670	きりゅうにん	〔寄留人〕		cizuuniN
670	きりょう	〔器量〕		kaagi，→kiroo，かおだち，ようぼう/ ～の悪い者'janakaagii
670	きりょうじん	〔器量人〕		cirooniN
670	きりん	〔麒麟〕		ciriN
670	きりんそう		(植物名)	hukurugi
670	きる	〔着る〕		cijuN，cirumuN/着始めのものciikaki
670	きる	〔切る〕		cijuN，→?usicijuN，'wacuN/さっと～gusumikasjuN，→ちょんぎる
670	きれ	〔切れ〕		→ぬの
670	きれ	〔切れ〕		-caai，-ciri
670	きれい	〔奇麗〕		cirii，ciriiN/ ～である→うつくしい/ ～な女→びじん/ ～にcuraaku
670	きれぎれ	〔切れ切れ〕		hwiQciribiQciri，→ずたずた
670	きれくず	〔切れ屑〕		hucigi
670	きれつ	〔亀裂〕		hwibari，hwibici，hwibiki，→さけめ
670	きれはし	〔切れ端〕		cirihasi
670	きれめ	〔切れ目〕		cirimi，→きりくち
671	きれもの	〔切れ者〕		haganaa，haganimuN，takumaciraa，takumacirimuN，→さいばしる
671	きれる	〔切れる〕		cirijuN，hwiQcirijuN，tacuN/切れたり破れたり cirimusiri/切れてなくなった者-muQkoo
671	ぎろう	〔妓楼〕		zurinujaa
671	きわ	〔極〕		ciwa，→きょくち
671	きわまる	〔極まる〕		→takiCikijuN
671	きん	〔金〕		ciN，kugani/ ～のかんざしkuganiziihwaa，kuganikamisasi/ ～の指輪kugani?iibiganii，kugani?iibinagii，/ ～歯，～屏風，～襴→それぞれの項目を見よ
671	きん	〔斤〕		-ciN，→ciNmi
671	ぎん	〔銀〕		naNza/～のかんざし naNzaziihwaa
671	ぎんが	〔銀河〕		tiNgaara
671	きんがく	〔金額〕		ziNdaka
671	きんかん	〔金柑〕		ciNkaN
671	きんがん	〔近眼〕		cikami
671	きんきじゃくやく	〔欣喜雀躍〕		mooihani，tuNmooimooi，tuNzaamoojaa，'uduihani，→うれしい，こおどり，よろこぶ
671	きんぎょ	〔金魚〕		?aka?ijuu/～の一種 daNcuu，saNmi
671	きんこう	〔近郊〕		sicaara
671	ぎんこう	〔銀行〕		ziNkoo
671	きんさつ	〔禁札〕		cizinuhwee
671	きんし	〔禁止〕		ciNzi，haQtu/～されていること cireemuN/～すべきこと ciree/する cizijuN
671	きんじょ	〔近所〕		ciNpiN，ciNpoo，→となり，となりきんじょ/～払いciNzubiree/ ～の集まりciNzuZurii
671	きんしん	〔近親〕		cika?weeka，?uciwaa，(敬語)cica?uNpadaN，→しんせき
671	きんせい	〔禁制〕		haQtu，→きんし
671	きんせい	〔金星〕		'juubaNmaNzaa，'jookaabusi，maNzaabusi
671	きんせん	〔金銭〕		→かね
671	きんぞく	〔金属〕		→かね
671	きんたま	〔睾丸〕		'jaQkwaN，kuuga/ ～が痛むこと tamajaN
671	きんたろう	〔金太郎〕		→はらかけ
671	きんちゃく	〔巾着〕		ziNbukuru
671	きんとん			/～の一種 kuu?Nmunii，taa?Nmunii
671	きんば	〔金歯〕		ciNbaa
671	きんびょうぶ	〔金屏風〕		ciNbjoobu，ciNnoobu
671	きんべん	〔近辺〕		→ちかく
671	きんぼう	〔近傍〕		→ちかく
671	ぎんみ	〔吟味〕		→しらべ
671	きんむ	〔勤務〕		Cimi，Citumi，→つとめる
671	きんむひょうてい	〔勤務評定〕		husikoo
671	きんめ	〔斤目〕		ciNmi，→りょうもく
671	きんもつ	〔禁物〕		→だいきんもつ
671	きんらん	〔金襴〕		ciNdaN，ciNraN
671	く	〔九〕		→きゅう
671	ぐあい	〔工合〕		?aNbee，tanari，→かげん，つごう
671	くい	〔杭〕		kwii
671	くいあらす	〔食い荒らす〕		/～こと kizihoorii，kizihui，kweehoorii
671	くいあわせ	〔食いあわせ〕		kuku
671	くいいじ	〔食い意地〕		→くいしんぼう/～が張るgacikeejuN/ ～がはっている gacigisaN，gaciraasjaN
671	くいきる	〔食い切る〕		kwiicijuN
671	くいさがる	〔食い下がる〕		teesagajuN
671	くいしばる	〔食いしばる〕		kwiicaasjuN
671	くいしんぼう	〔食いしん坊〕		gaci，'jaasaoo，→?uhugaci，くいいじ
671	くいたおす	〔食い倒す〕		kweetoosjuN
671	くいだおれ	〔食い倒れ〕		kweedoori
672	くいちがう	〔食い違う〕		?aakijuN，→ちぐはぐ
672	くいちらす	〔食い散らす〕		→くいあらす
672	くいつく	〔食いつく〕		kwiiCicuN，kwiiCikijuN，tuQkwajuN，→かみつく
672	くいつぶす	〔食いつぶす〕		kweetoosjuN
672	くいな	〔水鶏〕		kumiraa，kumiru
672	くいはぐれる	〔食いはぐれる〕		kamihaNsjuN
672	くいぶち	〔食い扶持〕		kweekuci
672	くいもの	〔食いもの〕		→たべもの
672	くう	〔食う〕		kanuN，kwajuN，tuikanuN，(敬語) ?usjagajuN，→たべる/～ことの果報 kweebuu/食わせる kwaasjuN/～にやっとの働き kucinumee
672	ぐうぐう			gutaguta
672	くうしゃ	〔空車〕		'Nnaguruma
672	ぐうぜん	〔偶然〕		hjoosi，→たまたま/～の機会 ?aQta?uZumi
672	ぐうたら			guuda，nubacirimuN，→なまけもの/～にした仕事 nubacirisigutu
672	くうふく	〔空腹〕		'jaasawata，(敬語)miniisja 'Nnawata/～である 'jaasaN/～で元気がなくなる hwicisagajuN
672	くがつ	〔9月〕		kugwaCi，kuNgwaCi
672	くき	〔茎〕		guci，huni
672	くぎ	〔釘〕		kuzi
